FFT of Input Signal
Index,Real,Imag,Mag,Phase
146,-33.7844,-70.6543,78.3162,-2.01682
147,-32.8014,-69.273,76.6465,-2.01303
148,-31.8557,-67.9465,75.0434,-2.0092
149,-30.9448,-66.6714,73.5028,-2.00535
150,-30.067,-65.4444,72.0208,-2.00146
151,-29.2203,-64.2628,70.5941,-1.99755
152,-28.403,-63.1237,69.2195,-1.99361
153,-27.6135,-62.0248,67.8939,-1.98965
154,-26.8503,-60.9636,66.6146,-1.98567
155,-26.1121,-59.9382,65.3791,-1.98165
156,-25.3975,-58.9464,64.185,-1.97762
157,-24.7054,-57.9865,63.0301,-1.97356
158,-24.0345,-57.0568,61.9123,-1.96948
159,-23.3838,-56.1556,60.8297,-1.96537
160,-22.7523,-55.2814,59.7805,-1.96124
161,-22.1391,-54.4329,58.7629,-1.95708
162,-21.5432,-53.6087,57.7755,-1.95291
163,-20.9639,-52.8077,56.8167,-1.9487
164,-20.4003,-52.0286,55.8851,-1.94447
165,-19.8516,-51.2704,54.9794,-1.94021
166,-19.3172,-50.532,54.0984,-1.93593
167,-18.7964,-49.8125,53.2409,-1.93162
168,-18.2885,-49.111,52.4057,-1.92728
169,-17.7929,-48.4266,51.5918,-1.92291
170,-17.3091,-47.7584,50.7983,-1.9185
171,-16.8364,-47.1058,50.0242,-1.91406
172,-16.3744,-46.4679,49.2685,-1.90959
173,-15.9225,-45.8441,48.5305,-1.90508
174,-15.4803,-45.2337,47.8092,-1.90053
175,-15.0472,-44.636,47.104,-1.89594
176,-14.6229,-44.0504,46.4141,-1.89131
177,-14.2069,-43.4764,45.7388,-1.88663
178,-13.7987,-42.9134,45.0774,-1.8819
179,-13.398,-42.3608,44.4291,-1.87712
180,-13.0044,-41.8182,43.7936,-1.87229
181,-12.6175,-41.2849,43.17,-1.8674
182,-12.2368,-40.7606,42.5578,-1.86245
183,-11.8621,-40.2447,41.9564,-1.85743
184,-11.493,-39.7367,41.3654,-1.85234
185,-11.129,-39.2363,40.7841,-1.84718
186,-10.77,-38.7429,40.212,-1.84194
187,-10.4155,-38.2562,39.6487,-1.83661
188,-10.0652,-37.7757,39.0936,-1.83119
189,-9.71869,-37.301,38.5463,-1.82568
190,-9.3757,-36.8316,38.0062,-1.82006
191,-9.03587,-36.3671,37.4729,-1.81433
192,-8.69885,-35.9072,36.9459,-1.80848
193,-8.36429,-35.4514,36.4247,-1.8025
194,-8.03184,-34.9992,35.9089,-1.79638
195,-7.70112,-34.5502,35.3981,-1.79011
196,-7.37178,-34.104,34.8917,-1.78368
197,-7.04341,-33.6602,34.3892,-1.77707
198,-6.71564,-33.2183,33.8903,-1.77027
199,-6.38803,-32.7777,33.3944,-1.76327
200,-6.06018,-32.3381,32.901,-1.75605
201,-5.73161,-31.8988,32.4097,-1.74858
202,-5.40186,-31.4594,31.9198,-1.74085
203,-5.07042,-31.0193,31.431,-1.73282
204,-4.73675,-30.5779,30.9426,-1.72448
205,-4.40029,-30.1345,30.4541,-1.71579
206,-4.06041,-29.6885,29.9648,-1.70672
207,-3.71646,-29.2391,29.4743,-1.69722
208,-3.3677,-28.7855,28.9818,-1.68726
209,-3.01337,-28.3269,28.4867,-1.67678
210,-2.6526,-27.8624,27.9883,-1.66571
211,-2.28445,-27.3908,27.4859,-1.65401
212,-1.90789,-26.9112,26.9787,-1.64157
213,-1.52176,-26.4222,26.466,-1.62833
214,-1.12478,-25.9225,25.9469,-1.61416
215,-0.715518,-25.4105,25.4205,-1.59895
216,-0.292351,-24.8844,24.8861,-1.58254
217,0.146545,-24.3424,24.3428,-1.56478
218,0.603248,-23.7821,23.7898,-1.54544
219,1.08013,-23.2011,23.2263,-1.52427
220,1.57993,-22.5964,22.6516,-1.50099
221,2.10581,-21.9646,22.0654,-1.47522
222,2.66143,-21.3019,21.4675,-1.4465
223,3.25112,-20.6035,20.8584,-1.41429
224,3.87996,-19.864,20.2394,-1.3779
225,4.55402,-19.0771,19.6131,-1.33647
226,5.28057,-18.2349,18.9841,-1.28892
227,6.06841,-17.328,18.3599,-1.23394
228,6.92833,-16.345,17.7528,-1.16987
229,7.87367,-15.2716,17.1819,-1.09477
230,8.92113,-14.0901,16.6768,-1.00636
231,10.092,-12.7777,16.2824,-0.9023
232,11.4135,-11.3054,16.0649,-0.78064
233,12.9217,-9.63485,16.1184,-0.6407
234,14.6648,-7.71477,16.5703,-0.484289
235,16.7087,-5.47481,17.5828,-0.316638
236,19.1466,-2.81585,19.3526,-0.146021
237,22.1141,0.406506,22.1178,0.0183801
238,25.8165,4.41103,26.1906,0.169227
239,30.5809,9.54593,32.0361,0.302569
240,36.9612,16.4012,40.4367,0.417636
241,45.9771,26.0625,52.8502,0.515694
242,59.7326,40.7705,72.3202,0.598919
243,83.3812,66.0132,106.349,0.669662
244,133.789,119.751,179.555,0.730087
245,316.59,314.473,446.232,0.782043
246,-1023.15,-1112.15,1511.2,-2.31454
247,-201.868,-237.513,311.71,-2.27525
248,-113.791,-143.664,183.269,-2.24068
249,-80.0275,-107.652,134.139,-2.21005
250,-62.1487,-88.5564,108.188,-2.18273
251,-51.061,-76.6933,92.1362,-2.15819
252,-43.5001,-68.5862,81.2177,-2.13601
253,-38.0052,-62.6794,73.3015,-2.11587
254,-33.8245,-58.1726,67.2915,-2.09746
255,-30.5317,-54.6117,62.5669,-2.08058
256,-27.867,-51.72,58.7497,-2.065
257,-25.663,-49.3193,55.5966,-2.05059
258,-23.8071,-47.2896,52.9442,-2.03719
259,-22.2206,-45.5473,50.6785,-2.02468
260,-20.8471,-44.032,48.7177,-2.01298
261,-19.6447,-42.6994,47.0016,-2.00199
262,-18.5821,-41.5159,45.4847,-1.99164
263,-17.635,-40.4558,44.1324,-1.98187
264,-16.7847,-39.4991,42.9174,-1.97261
265,-16.0161,-38.6298,41.8184,-1.96383
266,-15.3173,-37.8352,40.8182,-1.95547
267,-14.6786,-37.1048,39.9028,-1.9475
268,-14.092,-36.4302,39.0608,-1.93989
269,-13.5508,-35.8044,38.2828,-1.9326
270,-13.0495,-35.2213,37.561,-1.92562
271,-12.5835,-34.6761,36.8887,-1.9189
272,-12.1488,-34.1646,36.2603,-1.91245
273,-11.742,-33.6831,35.6711,-1.90623
274,-11.3603,-33.2286,35.1169,-1.90022
275,-11.0012,-32.7985,34.5943,-1.89442
276,-10.6624,-32.3903,34.1001,-1.88881
277,-10.3422,-32.0021,33.6318,-1.88337
278,-10.0387,-31.6322,33.1869,-1.8781
279,-9.75068,-31.2788,32.7634,-1.87298
280,-9.4767,-30.9408,32.3596,-1.86801
281,-9.21566,-30.6168,31.9737,-1.86317
282,-8.96652,-30.3058,31.6044,-1.85846
283,-8.72838,-30.0067,31.2504,-1.85387
284,-8.50042,-29.7188,30.9106,-1.84939
285,-8.28191,-29.4412,30.5839,-1.84501
286,-8.07217,-29.1732,30.2693,-1.84074
287,-7.87061,-28.9141,29.9662,-1.83656
288,-7.67668,-28.6635,29.6737,-1.83248
289,-7.4899,-28.4207,29.391,-1.82847
290,-7.3098,-28.1852,29.1177,-1.82455
291,-7.13598,-27.9568,28.8531,-1.82071
292,-6.96806,-27.7348,28.5967,-1.81694
293,-6.80569,-27.519,28.3481,-1.81324
294,-6.64856,-27.309,28.1067,-1.80961
295,-6.49638,-27.1045,27.8722,-1.80604
296,-6.34887,-26.9053,27.6442,-1.80253
297,-6.20579,-26.7109,27.4224,-1.79908
298,-6.06691,-26.5213,27.2064,-1.79568
299,-5.932,-26.3362,26.996,-1.79234
300,-5.80089,-26.1553,26.7909,-1.78905
301,-5.67337,-25.9785,26.5907,-1.78581
302,-5.54927,-25.8055,26.3954,-1.78261
303,-5.42845,-25.6362,26.2047,-1.77946
304,-5.31074,-25.4705,26.0183,-1.77636
305,-5.19602,-25.3082,25.8361,-1.77329
306,-5.08414,-25.1491,25.6579,-1.77027
307,-4.97498,-24.9931,25.4835,-1.76728
308,-4.86843,-24.8402,25.3127,-1.76433
309,-4.76438,-24.69,25.1455,-1.76142
310,-4.66273,-24.5427,24.9817,-1.75854
311,-4.56339,-24.398,24.8211,-1.7557
312,-4.46626,-24.2558,24.6636,-1.75289
313,-4.37125,-24.1162,24.5091,-1.75011
314,-4.27829,-23.9789,24.3576,-1.74736
315,-4.1873,-23.8439,24.2088,-1.74464
316,-4.09822,-23.7111,24.0627,-1.74194
317,-4.01096,-23.5805,23.9192,-1.73928
318,-3.92546,-23.4519,23.7782,-1.73664
319,-3.84167,-23.3253,23.6396,-1.73403
320,-3.75953,-23.2007,23.5033,-1.73144
321,-3.67898,-23.078,23.3694,-1.72888
322,-3.59996,-22.9571,23.2376,-1.72634
323,-3.52243,-22.8379,23.108,-1.72383
324,-3.44635,-22.7205,22.9804,-1.72133
325,-3.37165,-22.6047,22.8548,-1.71886
326,-3.29831,-22.4906,22.7311,-1.71641
327,-3.22628,-22.378,22.6093,-1.71398
328,-3.15551,-22.2669,22.4894,-1.71157
329,-3.08598,-22.1573,22.3712,-1.70918
330,-3.01765,-22.0492,22.2548,-1.70681
331,-2.95047,-21.9425,22.14,-1.70446
332,-2.88443,-21.8372,22.0268,-1.70212
333,-2.81948,-21.7332,21.9153,-1.69981
334,-2.75559,-21.6305,21.8053,-1.69751
335,-2.69274,-21.529,21.6968,-1.69523
336,-2.6309,-21.4288,21.5897,-1.69296
337,-2.57004,-21.3298,21.4841,-1.69071
338,-2.51014,-21.232,21.3799,-1.68847
339,-2.45116,-21.1354,21.277,-1.68626
340,-2.3931,-21.0398,21.1755,-1.68405
341,-2.33591,-20.9454,21.0752,-1.68186
342,-2.27959,-20.852,20.9763,-1.67969
343,-2.22411,-20.7597,20.8785,-1.67753
344,-2.16945,-20.6684,20.782,-1.67538
345,-2.11558,-20.5781,20.6866,-1.67324
346,-2.0625,-20.4888,20.5924,-1.67112
347,-2.01018,-20.4005,20.4993,-1.66901
348,-1.9586,-20.3131,20.4073,-1.66692
349,-1.90775,-20.2266,20.3164,-1.66484
350,-1.85761,-20.141,20.2265,-1.66277
